,name,capital,iso-alpha-2,iso-alpha-3
0,Albania,Tirana,al,ALB
1,Armenia,Yerevan,am,ARM
2,Australia,Canberra,au,AUS
3,Austria,Vienna,at,AUT
4,Azerbaijan,Baku,az,AZE
5,Belgium,Brussels,be,BEL
6,Croatia,Zagreb,hr,HRV
7,Cyprus,Nicosia,cy,CYP
8,Czechia,Prague,cz,CZE
9,Denmark,København,dk,DNK
10,Estonia,Tallinn,ee,EST
11,Finland,Helsinki,fi,FIN
12,France,Paris,fr,FRA
13,Georgia,Tbilisi,ge,GEO
14,Germany,Berlin,de,DEU
15,Greece,Athens,gr,GRC
16,Iceland,Reykjavík,is,ISL
17,Ireland,Dublin,ie,IRL
18,Israel,Jerusalem,il,ISR
19,Italy,Rome,it,ITA
20,Latvia,Riga,lv,LVA
21,Lithuania,Vilnius,lt,LTU
22,Malta,Valletta,mt,MLT
23,Moldova,Chi?in?u,md,MDA
24,Netherlands,Amsterdam,nl,NLD
25,Norway,Oslo,no,NOR
26,Poland,Warsaw,pl,POL
27,Portugal,Lisbon,pt,PRT
28,Romania,Bucharest,ro,ROU
29,San Marino,San Marino,sm,SMR
30,Serbia,Belgrade,rs,SRB
31,Slovenia,Ljubljana,si,SVN
32,Spain,Madrid,es,ESP
33,Sweden,Stockholm,se,SWE
34,Switzerland,Bern,ch,CHE
35,Ukraine,Kyiv,ua,UKR
36,United Kingdom,London,gb,GBR
37,Andorra,Andorra la Vella,ad,AND
38,Bosnia and Herzegovina,Sarajevo,ba,BIH
39,Bulgaria,Sofia,bg,BGR
40,Belarus,Minsk,by,BLR
41,Hungary,Budapest,hu,HUN
42,Luxembourg,Luxembourg,lu,LUX
43,Morocco,Rabat,ma,MAR
44,Monaco,Monaco,mc,MCO
45,North Macedonia,Skopje,mk,MKD
46,Montenegro,Podgorica,me,MNE
47,Russia,Moscow,ru,RUS
48,Slovakia,Bratislava,sk,SVK
49,Turkiye,Ankara,tr,TUR
